PROVINCIA;VOTOS_P1;VOTOS_P2
CUTERVO;117;69
CUTERVO;123;73
CUTERVO;56;15
CAJABAMBA;81;76
CELENDIN;140;40
CELENDIN;111;12
CUTERVO;116;45
CAJABAMBA;89;81
CUTERVO;134;70
CUTERVO;83;20
CAJABAMBA;101;77
CELENDIN;81;13
CALLAO;61;160
CALLAO;73;133
CALLAO;64;137
SAN MARCOS;119;71
CELENDIN;120;64
SAN IGNACIO;172;28
SAN IGNACIO;199;22
CALLAO;67;158
CONTUMAZA;149;68
SAN IGNACIO;198;28
SAN IGNACIO;185;30
CUTERVO;113;46
SAN MARCOS;123;9
CALLAO;40;184
SAN PABLO;147;37
SAN MARCOS;124;16
CALLAO;44;158
CALLAO;87;137
CHOTA;170;
CALLAO;81;144
SAN PABLO;128;39
CHOTA;173;4
SAN PABLO;143;30
CALLAO;88;140
CALLAO;16;131
HUALGAYOC;204;21
CALLAO;89;144
CALLAO;47;88
CALLAO;64;119
CALLAO;64;121
JAEN;126;77
CALLAO;62;167
CALLAO;61;114
CAJABAMBA;74;66
SANTA CRUZ;157;40
CALLAO;92;134
CALLAO;85;138
CALLAO;90;146
CALLAO;87;154
SAN MARCOS;156;73
CAJABAMBA;151;57
CALLAO;68;169
CALLAO;110;139
CELENDIN;201;10
SAN IGNACIO;151;30
CELENDIN;208;1
SANTA CRUZ;120;68
SAN IGNACIO;149;43
SAN IGNACIO;161;13
SAN IGNACIO;141;47
SANTA CRUZ;152;53
SAN IGNACIO;109;73
SANTA CRUZ;135;55
SANTA CRUZ;135;45
SAN IGNACIO;126;51
SAN IGNACIO;115;59
JAEN;112;7
JAEN;128;10
SAN MIGUEL;105;68
SAN IGNACIO;140;63
SAN IGNACIO;147;55
SAN IGNACIO;144;47
JAEN;100;35
SAN IGNACIO;150;25
SAN IGNACIO;138;29
SAN IGNACIO;59;2
JAEN;123;41
JAEN;124;49
SAN MARCOS;129;49
SAN MIGUEL;138;57
SAN IGNACIO;154;32
SAN MARCOS;152;42
JAEN;117;34
SAN MIGUEL;99;55
JAEN;169;43
SAN MIGUEL;73;80
JAEN;157;48
JAEN;150;46
JAEN;145;49
SAN MIGUEL;181;26
JAEN;77;30
JAEN;86;31
JAEN;85;47
JAEN;77;36
SAN IGNACIO;150;22
SAN IGNACIO;138;42
SANTA CRUZ;137;33
CALLAO;44;183
CALLAO;46;139
CALLAO;52;185
CALLAO;41;180
CALLAO;34;164
CALLAO;52;173
CALLAO;81;125
CALLAO;84;147
CALLAO;66;159
CALLAO;45;181
CALLAO;51;170
CALLAO;62;189
CALLAO;88;152
CALLAO;39;184
CALLAO;48;175
CALLAO;58;207
CALLAO;51;162
CALLAO;44;164
CALLAO;47;179
CALLAO;70;137
CALLAO;68;153
CALLAO;31;174
CALLAO;46;148
CALLAO;62;138
CALLAO;45;150
